s1	rid
S1-547535005	S2-794271292
S1-684682438	S2-50585035
S1-31626540	S2-578696557
S1-962126207	S2-371035506
S1-783362832	S2-81215964
S1-468404590	S2-370024758
S1-903210489	S2-952613021
S1-185550575	S2-833400690
S1-732986234	S2-421844638
S1-950735434	S2-903227102
S1-803384571	S2-33256387
S1-417838670	S2-960910456
S1-541614936	S2-650667877
S1-201164797	S2-821401730
S1-341808925	S2-699140999
S1-663269350	S2-695832964
S1-901328213	S2-728524905
S1-882470102	S2-728950506
S1-39816240	S2-420075909
S1-971217007	S2-863489738
S1-268533879	S2-273218601
S1-684015833	S2-715217522
S1-280528783	S2-920016310
S1-867683406	S2-65122767
S1-796764494	S2-937683114
S1-278583236	S2-6302412
S1-957859049	S2-921166613
S1-844472051	S2-167207136
S1-77209285	S2-619851359
S1-180412111	S2-87358003
S1-958724291	S2-554725942
S1-789249476	S2-688872251
S1-861396485	S2-127320514
S1-820208022	S2-683479179
S1-426360914	S2-638759750
S1-182504384	S2-891205782
S1-639308362	S2-20747568
S1-820582186	S2-405199558
S1-185471734	S2-353359039
S1-283951485	S2-861947135
S1-504866903	S2-106631472
S1-715008760	S2-642967899
S1-161959635	S2-231486166
S1-180655434	S2-963045232
S1-547675441	S2-246687468
S1-251445488	S2-8886675
S1-31242107	S2-937680455
S1-511636854	S2-590893998
S1-655889175	S2-239124297
S1-724056856	S2-845731739
S1-866408151	S2-588837292
S1-86143549	S2-405390906
S1-200409426	S2-182299945
S1-26525880	S2-865895611
S1-543270750	S2-716685685
S1-609540440	S2-459870437
S1-486693232	S2-330077361
S1-345665966	S2-881368398
S1-345895220	S2-19565434
S1-78884376	S2-819895138
S1-872508047	S2-903268285
S1-100786649	S2-107051879
S1-478062095	S2-666466709
S1-720462745	S2-389144961
S1-395910694	S2-236132826
S1-618768305	S2-250490043
S1-591683187	S2-811123960
S1-805983879	S2-72345677
S1-770973091	S2-613663683
S1-286177322	S2-789385072
S1-729408780	S2-914204034
S1-770093536	S2-155639524
S1-495294701	S2-825149969
S1-311612396	S2-78922553
S1-776414903	S2-296644539
S1-787613354	S2-829563500
S1-520840653	S2-868770381
S1-288529104	S2-360223638
S1-834428668	S2-352974705
S1-957069845	S2-573421950
S1-167975332	S2-627284587
S1-617083035	S2-810278210
S1-542860519	S2-539114380
S1-702585440	S2-547303549
S1-875267333	S2-632415464
S1-360395735	S2-612452873
S1-759237362	S2-566025708
S1-747266488	S2-130755887
S1-111695284	S2-807753781
S1-417882641	S2-970458385
S1-808437924	S2-657386739
S1-682367392	S2-452626928
S1-859313972	S2-470985651
S1-138427799	S2-191258227
S1-204584947	S2-81057371
S1-414757637	S2-246772810
S1-390635374	S2-669912181
S1-889000496	S2-684479840
S1-511969156	S2-33456033
S1-227412198	S2-989987698
S1-889562353	S2-425034117
S1-340492859	S2-461610073
S1-411031562	S2-903127740
S1-246255159	S2-32874929
S1-822859962	S2-985435367
S1-340412298	S2-718937126
S1-126053298	S2-493757066
S1-365282247	S2-532187679
S1-684079977	S2-71346500
S1-826026698	S2-220422330
S1-187339582	S2-45333183
S1-792463470	S2-979845133
S1-397747977	S2-304149163
S1-680303343	S2-336408294
S1-377571650	S2-999409703
S1-862393076	S2-231400287
S1-257745227	S2-129781314
S1-332975184	S2-748542677
S1-988625778	S2-897935120
S1-431245965	S2-217860586
S1-299366025	S2-266654095
S1-345745900	S2-576604768
S1-472046942	S2-255972269
S1-278642850	S2-87694753
S1-944058930	S2-592487918
S1-206855315	S2-386908809
S1-793656686	S2-828716762
S1-623326422	S2-866853507
S1-168104413	S2-716688937
S1-827208247	S2-867825539
S1-559037680	S2-517254499
S1-124051768	S2-187088679
S1-743268342	S2-326591232
S1-24578003	S2-990421817
S1-812796972	S2-311856044
S1-95468322	S2-595344511
S1-48134598	S2-138435764
S1-62288320	S2-651723138
S1-732364353	S2-904498331
S1-52276371	S2-450269025
S1-669230135	S2-599030905
S1-560284437	S2-299437108
S1-420214350	S2-127835802
S1-670859601	S2-263539713
S1-355413744	S2-29369403
S1-254335192	S2-460802352
S1-714161281	S2-106874917
S1-664682951	S2-781980120
S1-664548756	S2-188619381
S1-832496758	S2-561071313
S1-21476874	S2-342452731
S1-981957075	S2-522727021
S1-537373136	S2-366642588
S1-925493365	S2-602493529
S1-564305895	S2-71057970
S1-710544714	S2-816565908
S1-870253407	S2-757915865
S1-471181529	S2-655701065
S1-942501324	S2-663078523
S1-63382851	S2-381084230
S1-324704727	S2-4097610
S1-211143828	S2-719516945
S1-429309943	S2-620085114
S1-998242368	S2-294866563
S1-391187159	S2-865906887
S1-399261507	S2-186032617
S1-332715669	S2-655969693
S1-654572775	S2-545333017
S1-878997497	S2-205807234
S1-448013134	S2-448627269
S1-240283253	S2-931705540
S1-837356383	S2-870057090
S1-642162774	S2-933015258
S1-62754106	S2-260085113
S1-955210847	S2-751380617
S1-954197394	S2-509040201
S1-426469726	S2-266005159
S1-117180138	S2-668803265
S1-71422742	S2-541321735
S1-659756925	S2-542773866
S1-980809047	S2-547919147
S1-684462193	S2-372292207
S1-404057485	S2-216134897
S1-329116442	S2-816149319
S1-44246200	S2-189281226
S1-368214204	S2-437227327
S1-936521167	S2-679006024
S1-305716996	S2-252199843
S1-371705089	S2-536139543
S1-110033424	S2-205490085
S1-86930490	S2-857711060
S1-650875013	S2-956657199
S1-436474433	S2-238661101
S1-850481374	S2-153941321
S1-648969021	S2-193953665
S1-408725305	S2-820763824
S1-895340719	S2-736435627
S1-100110328	S2-907226439
S1-581367736	S2-618504692
S1-365366757	S2-338961033
S1-712874980	S2-528306448
S1-527733309	S2-351445817
S1-474396087	S2-657436284
S1-475673603	S2-43995470
S1-111922981	S2-792595242
S1-750317094	S2-193770068
S1-144338936	S2-360464851
S1-643909632	S2-765579297
S1-581228435	S2-621673424
S1-406577095	S2-220791056
S1-392473952	S2-86043392
S1-328833833	S2-416316
S1-731072708	S2-159572729
S1-338604251	S2-693197760
S1-977527518	S2-172844548
S1-651220584	S2-163560259
S1-779771367	S2-374281476
S1-728195272	S2-527429252
S1-273687295	S2-50477643
S1-203514084	S2-21424560
S1-673263173	S2-283291630
S1-479336412	S2-112298969
S1-859530813	S2-548089479
S1-640480830	S2-676534863
S1-130452011	S2-290548394
S1-840130461	S2-624299441
S1-311729411	S2-350440251
S1-668657613	S2-506342572
S1-113295560	S2-455782644
S1-628161056	S2-332864132
S1-556531355	S2-2016654
S1-31284319	S2-599151308
S1-516854043	S2-913444571
S1-266240568	S2-15874465
S1-303531284	S2-245934871
S1-800869573	S2-2892898
S1-688845346	S2-487076938
S1-77861943	S2-915497043
S1-71728837	S2-770884136
S1-734025831	S2-730385363
S1-287533645	S2-495504379
S1-23170070	S2-371652417
S1-539050513	S2-722772139
S1-703609117	S2-283676308
S1-624124310	S2-451416975
S1-257397078	S2-129145601
S1-292204922	S2-808968960
S1-260017383	S2-456107606
S1-197195940	S2-574320896
S1-182689990	S2-217392842
S1-955980286	S2-529598963
S1-203282169	S2-973185601
S1-782500940	S2-251281277
S1-559139536	S2-763093117
S1-705032772	S2-377753801
S1-595299032	S2-183744859
S1-347058548	S2-10223294
S1-667308469	S2-258853676
S1-685859887	S2-436437714
S1-836286196	S2-78231996
S1-528661693	S2-52652482
S1-654144203	S2-231366438
S1-322551345	S2-1539115
S1-153153183	S2-932829396
S1-71928569	S2-736346712
S1-405818222	S2-873620229
S1-995810646	S2-304754440
S1-364347643	S2-509339448
S1-666120917	S2-597905011
S1-192845899	S2-650428717
S1-578842626	S2-212012392
S1-819750126	S2-975683029
S1-240008093	S2-760763837
S1-146535006	S2-131589646
S1-975591819	S2-622510005
S1-846011824	S2-86932051
S1-13685549	S2-504675073
S1-864152037	S2-608822629
S1-800761397	S2-558105706
S1-111627396	S2-270438623
S1-266240568	S2-141635539
S1-8893557	S2-342258730
S1-127837265	S2-796425476
S1-585709160	S2-678631834
S1-856982038	S2-110287016
S1-771051527	S2-733773905
S1-977601641	S2-282190197
S1-382243623	S2-891828507
S1-588685122	S2-452268811
S1-874123458	S2-896182770
S1-544033864	S2-995949123
S1-306056878	S2-475019531
S1-256832636	S2-874303943
S1-875298816	S2-138769806
S1-206043199	S2-706987295
S1-186985074	S2-528685497
S1-178811682	S2-516669821
S1-531286020	S2-718094880
S1-782023711	S2-511762997
S1-703284903	S2-523283146
S1-110784837	S2-50550896
S1-448449857	S2-411118320
S1-991482042	S2-863587623
S1-503284017	S2-233582000
S1-445651102	S2-344277148
S1-566658836	S2-320153641
S1-189794174	S2-689979400
S1-745535627	S2-964549657
S1-675580513	S2-694450727
S1-666098306	S2-403283980
S1-467344228	S2-972550054
S1-550153793	S2-563203693
S1-857649063	S2-184144875
S1-811493864	S2-280714514
S1-158449278	S2-82350208
S1-989699126	S2-320002820
S1-457560886	S2-647483336
S1-415230677	S2-69821373
S1-68897232	S2-397173614
S1-486411262	S2-35101948
S1-211253157	S2-975825500
S1-939773826	S2-392891721
S1-293796312	S2-946216193
S1-596718367	S2-777355801
S1-639780252	S2-521124103
S1-929863634	S2-586656690
S1-13087837	S2-416270690
S1-925971041	S2-7283552
S1-667439846	S2-8949728
S1-204390791	S2-926951078
S1-887495356	S2-966914338
S1-372710791	S2-205028682
S1-204239129	S2-360404607
S1-354774761	S2-753530163
S1-808924680	S2-867351466
S1-223942703	S2-141632415
S1-469509459	S2-648604957
S1-407498686	S2-128465543
S1-381325521	S2-269672775
S1-509043646	S2-202917070
S1-909243270	S2-891407905
S1-888435548	S2-65322243
S1-694759387	S2-177222975
S1-542089833	S2-112014842
S1-773269062	S2-190615947
S1-425721953	S2-38838198
S1-181972695	S2-994121400
S1-546218228	S2-493695465
S1-707681808	S2-733758855
S1-56745051	S2-345829015
S1-694233187	S2-906684394
S1-719934870	S2-109595318
S1-733451829	S2-153617261
S1-251421020	S2-823685510
S1-163087944	S2-343929868
S1-466098907	S2-111761633
S1-887359870	S2-303046410
S1-48527415	S2-774781624
S1-665536252	S2-21070957
S1-956958125	S2-723123305
S1-638217267	S2-70317506
S1-433732434	S2-337597738
S1-637220386	S2-615936860
S1-988133543	S2-991856057
S1-946158489	S2-619945044
S1-408629582	S2-31911162
S1-439593639	S2-534204625
S1-957064209	S2-221767523
S1-862824015	S2-134806568
S1-431495642	S2-473140655
S1-599394561	S2-744638035
S1-762172469	S2-236446063
S1-414776382	S2-181026174
S1-505079881	S2-216633159
S1-441221868	S2-479028926
S1-110852392	S2-365645590
S1-18986655	S2-66994327
S1-897644469	S2-770467747
S1-537528338	S2-727385929
S1-401742587	S2-836707658
S1-311106677	S2-443621622
S1-376284648	S2-970147442
S1-65654715	S2-396479266
S1-132515408	S2-741454619
S1-644412773	S2-279910339
S1-325912360	S2-196307326
S1-371134636	S2-151697604
S1-288945379	S2-46844334
S1-903790420	S2-822219379
S1-55107606	S2-958770869
S1-970019526	S2-243492610
S1-87088402	S2-598201709
S1-640670770	S2-928672161
S1-182049402	S2-137209406
S1-563462103	S2-363463679
S1-755363605	S2-452271255
S1-503998710	S2-646568402
S1-30940677	S2-905525364
S1-824167272	S2-981236721
S1-941437190	S2-118462642
S1-320937244	S2-688387733
S1-654742993	S2-566837469
S1-452390778	S2-563524999
S1-639466025	S2-147552490
S1-524426318	S2-852628704
S1-786261854	S2-202649229
S1-714434115	S2-681984312
S1-685220668	S2-510339752
S1-781410336	S2-936577008
S1-589286163	S2-554941954
S1-426598152	S2-518663151
S1-768098123	S2-228524769
S1-119684578	S2-619609918
S1-836429853	S2-214610489
S1-750064180	S2-494646548
S1-283746921	S2-829823845
S1-806032435	S2-638825769
S1-54041809	S2-882586689
S1-652282021	S2-285556554
S1-747710999	S2-993412399
S1-1905298	S2-876034786
S1-618704406	S2-7071025
S1-57887743	S2-374338418
S1-816868967	S2-636243061
S1-228576318	S2-536802734
S1-411591208	S2-448702416
S1-456205166	S2-601555829
S1-216537145	S2-296020790
S1-335628875	S2-176561829
S1-392795953	S2-301200829
S1-140955180	S2-385050496
S1-865238448	S2-384256024
S1-107843916	S2-902710495
S1-571526503	S2-69524504
S1-246588082	S2-570446685
S1-757104456	S2-381934008
S1-826225382	S2-201619083
S1-64338018	S2-970921559
S1-947998410	S2-258751827
S1-649755917	S2-213735309
S1-992532644	S2-830880796
S1-768162109	S2-33198165
S1-852607881	S2-132184803
S1-121677807	S2-610205018
S1-270027581	S2-870302266
S1-188168630	S2-110850835
S1-292671943	S2-32342167
S1-911184765	S2-229948108
S1-984885486	S2-980890040
S1-575553002	S2-843663445
S1-651007983	S2-481959587
S1-655132714	S2-440828976
S1-211705076	S2-71657780
S1-965416836	S2-14285798
S1-528962474	S2-996221027
S1-713916650	S2-632161218
S1-614599363	S2-731269179
S1-640233844	S2-957687613
S1-690055678	S2-15822991
S1-755765385	S2-104589178
S1-105584499	S2-947028181
S1-883340279	S2-131210869
S1-897205047	S2-260206915
S1-449093001	S2-123292668
S1-638318016	S2-746663013
S1-411849044	S2-526876100
S1-228148420	S2-854041286
S1-462647223	S2-720028208
S1-213232831	S2-360521252
S1-372327063	S2-433616543
S1-872872156	S2-690160845
S1-911763171	S2-367985137
S1-163908516	S2-332385487
S1-652928381	S2-852375035
S1-744722166	S2-942154212
S1-682812124	S2-662600657
S1-553292684	S2-196215137
S1-635054108	S2-252990031
S1-433217338	S2-545544792
S1-258755098	S2-334273869
S1-696596570	S2-104590910
S1-634542236	S2-270258092
S1-155274946	S2-421370078
S1-523931588	S2-347350477
S1-613331467	S2-228517154
S1-489135257	S2-770408253
S1-825343929	S2-798887336
S1-551757332	S2-752650208
S1-549208343	S2-702063645
S1-644584592	S2-236660414
S1-811448726	S2-5615831
S1-187060190	S2-490094083
S1-338918232	S2-109350979
S1-309972530	S2-128664835
S1-555318227	S2-951836072
S1-335127117	S2-491157097
S1-918665765	S2-481118402
S1-62347243	S2-248212007
S1-237040478	S2-840729966
S1-846895244	S2-522522370
S1-401982329	S2-224323262
S1-377568816	S2-739437237
S1-880540801	S2-554780873
S1-909978239	S2-379723264
S1-394822365	S2-557507488
S1-991485164	S2-936365699
S1-237040478	S2-116264099
S1-627968740	S2-162477682
S1-258897125	S2-819639109
S1-727012549	S2-130225948
S1-190019889	S2-255061909
S1-235081728	S2-863964474
S1-419235241	S2-331102815
S1-786175757	S2-766358944
S1-12550753	S2-346591063
S1-967745450	S2-653582786
S1-77448748	S2-735921538
S1-469236596	S2-946951696
S1-624787254	S2-962068892
S1-616509877	S2-258127769
S1-860658464	S2-772757211
S1-918030482	S2-828459558
S1-175359629	S2-728941168
S1-842536851	S2-676868889
S1-771489237	S2-349561354
S1-141847113	S2-972274933
S1-527711	S2-513986670
S1-158547499	S2-845499294
S1-581095765	S2-21645757
S1-166767616	S2-360985360
S1-495214059	S2-638852320
S1-724982856	S2-344270855
S1-601703189	S2-374171641
S1-799356134	S2-343214762
S1-711552040	S2-798632673
S1-914408641	S2-701762797
S1-607516027	S2-818223411
S1-555780901	S2-768515000
S1-774271501	S2-620036508
S1-271658466	S2-29973226
S1-788234394	S2-997454161
S1-390118844	S2-992571509
S1-230727677	S2-715030737
S1-402605743	S2-256129285
S1-321489300	S2-845985862
S1-21914144	S2-707288949
S1-159142299	S2-846153256
S1-308821083	S2-430890601
S1-164206709	S2-246489226
S1-269583380	S2-459223582
S1-896668382	S2-628519978
S1-708165924	S2-834874750
S1-383251326	S2-599004456
S1-313837973	S2-809390559
S1-211547513	S2-575710892
S1-75631414	S2-767482611
S1-39507728	S2-421582972
S1-490603732	S2-901958760
S1-932476307	S2-473460113
S1-582488583	S2-112698751
S1-438547552	S2-968025940
S1-316329886	S2-727801364
S1-301663328	S2-329477674
S1-223603183	S2-151338119
S1-244419617	S2-344408251
S1-778689504	S2-493075238
S1-613613601	S2-624958302
S1-287216381	S2-554548015
S1-875550691	S2-918117767
S1-748818776	S2-759255320
S1-517430763	S2-308800103
S1-945353456	S2-725096258
S1-203152338	S2-577872371
S1-676029912	S2-206071196
S1-553387507	S2-926724289
S1-784573589	S2-745277047
S1-925931476	S2-873693829
S1-855009304	S2-838508462
S1-575581309	S2-68960857
S1-476376528	S2-367243471
S1-717710727	S2-561736586
S1-479209079	S2-322604885
S1-397081545	S2-368418225
S1-40470834	S2-224460268
S1-360745305	S2-957839993
S1-307289700	S2-805815160
S1-773083023	S2-155670899
S1-470452174	S2-290912634
S1-102330867	S2-900431654
S1-415362863	S2-763285456
S1-860859285	S2-913969086
S1-514318401	S2-139461289
S1-999731408	S2-154971918
S1-612947687	S2-206431290
S1-517130347	S2-895626309
S1-424654664	S2-748048829
S1-67955226	S2-167227091
S1-473145731	S2-250412083
S1-423048267	S2-325543655
S1-862706434	S2-348567661
S1-651670961	S2-568627577
S1-65983522	S2-520456094
S1-288711465	S2-591783219
S1-771399262	S2-122987223
S1-4663491	S2-920713021
S1-863117767	S2-370318554
S1-703338408	S2-835441297
S1-81603297	S2-433834332
S1-126174585	S2-559522446
S1-982431738	S2-172949541
S1-723460455	S2-159543913
S1-197816882	S2-736585370
S1-222531159	S2-241116628
S1-171751265	S2-928403091
S1-753023808	S2-528595310
S1-809367891	S2-842266590
S1-89022266	S2-675206946
S1-93284876	S2-527053386
S1-290578653	S2-100787282
S1-305953310	S2-862277045
S1-565047132	S2-155807981
S1-259332525	S2-386145460
S1-722948096	S2-893252717
S1-79419673	S2-765834057
S1-529240837	S2-623937085
S1-327338526	S2-279636736
S1-58263257	S2-874658298
S1-184018374	S2-492277145
S1-887024197	S2-537568429
S1-22170119	S2-304691491
S1-931070007	S2-343590818
S1-991518623	S2-226727404
S1-13700074	S2-893450456
S1-14510248	S2-846316289
S1-965265571	S2-336790929
S1-261389460	S2-558141970
S1-42866437	S2-814016926
S1-756247045	S2-121443969
S1-816867873	S2-896986427
S1-115290235	S2-135668656
S1-649096392	S2-851991527
S1-389815951	S2-678613343
S1-101547582	S2-416651350
S1-803568627	S2-827936810
S1-608702060	S2-753844481
S1-345631130	S2-124682129
S1-150056272	S2-137347843
S1-409443769	S2-531907103
S1-931737970	S2-390838114
S1-49158320	S2-632472550
S1-698532553	S2-109815586
S1-619236537	S2-904168146
S1-398993142	S2-623358962
S1-837467405	S2-399333338
S1-180666791	S2-861545669
S1-242675438	S2-225550281
S1-997465198	S2-903078553
S1-410094264	S2-746951369
S1-166338671	S2-231821372
S1-975238206	S2-233659160
S1-631585271	S2-669393530
S1-796231207	S2-675169571
S1-738271339	S2-508722209
S1-258755098	S2-714693300
S1-275095864	S2-721602154
S1-879459306	S2-686044120
S1-283378110	S2-153674926
S1-802002917	S2-785590864
S1-380743266	S2-679324126
S1-203827017	S2-631106859
S1-126030171	S2-360420015
S1-496513125	S2-786738482
S1-516437517	S2-772499825
S1-117204444	S2-49224005
S1-367836895	S2-962371600
S1-909291234	S2-43919045
S1-494922005	S2-38238032
S1-77841104	S2-553695351
S1-58622125	S2-361576318
S1-898615911	S2-750156245
S1-65755556	S2-795178244
S1-100457921	S2-5611497
S1-253934739	S2-484740919
S1-868003637	S2-473003950
S1-878244571	S2-688518934
S1-313495505	S2-224362287
S1-746507795	S2-878847290
S1-88496901	S2-270119797
S1-33765748	S2-66022028
S1-468883926	S2-814632964
S1-566315307	S2-383044138
S1-440666746	S2-730097104
S1-938187406	S2-718004224
S1-503618095	S2-148145969
S1-160689230	S2-738692475
S1-614487512	S2-294965970
S1-28873221	S2-639492344
S1-607969156	S2-558248173
S1-820032070	S2-234822957
S1-699042145	S2-642237956
S1-725891523	S2-653864215
S1-569981221	S2-559247878
S1-516648097	S2-271201987
S1-465206894	S2-896023095
S1-463487143	S2-219413151
S1-771609823	S2-522417167
S1-180931193	S2-221620356
S1-730704350	S2-709629981
S1-889178772	S2-671061629
S1-172923307	S2-358693950
S1-768437446	S2-280280105
S1-793091470	S2-991544466
S1-597856617	S2-679659833
S1-434485304	S2-729808499
S1-917926871	S2-886295444
S1-137266342	S2-384219236
S1-614085017	S2-816927573
S1-794892151	S2-165153188
S1-153338489	S2-143858103
S1-374902496	S2-886417179
S1-33722779	S2-511409474
S1-277641693	S2-675942062
S1-956502804	S2-16195955
S1-131003470	S2-44433794
S1-759099954	S2-997520562
S1-803613976	S2-282842828
S1-671533681	S2-791988570
S1-956668952	S2-322100370
S1-940155459	S2-800555922
S1-761976835	S2-77907400
S1-937360664	S2-420178095
S1-418907925	S2-620948945
S1-850652311	S2-922734322
S1-544367443	S2-928076866
S1-748094638	S2-727905315
S1-737345155	S2-190502163
S1-518331342	S2-7207998
S1-115862517	S2-735405858
S1-219183677	S2-11211938
S1-439914990	S2-961696493
S1-149529306	S2-88159261
S1-809602814	S2-67366503
S1-672074860	S2-620860230
S1-913000201	S2-843273485
S1-325424220	S2-840952192
S1-312815948	S2-447564932
S1-41140225	S2-122024524
S1-428308140	S2-470835093
S1-716992703	S2-377940689
S1-470639762	S2-962623590
S1-499495280	S2-937085502
S1-601493421	S2-798818932
S1-901090900	S2-910344592
S1-261233301	S2-92788299
S1-616553146	S2-850362114
S1-811473019	S2-490706677
S1-899530786	S2-627788925
S1-139367666	S2-861272141
S1-633011018	S2-454934705
S1-220448874	S2-819511216
S1-23445576	S2-874182404
S1-459043501	S2-804309340
S1-733787652	S2-211300536
S1-678833285	S2-539886562
S1-111909300	S2-650072544
S1-467745736	S2-672777381
S1-818107455	S2-155805543
S1-32092912	S2-780337776
S1-18170133	S2-432060653
S1-555302198	S2-907465233
S1-431835920	S2-752617450
S1-168620840	S2-131802206
S1-267036953	S2-703048954
S1-257397078	S2-349655384
S1-335533963	S2-493330939
S1-915601797	S2-489069905
S1-157601774	S2-745304339
S1-834936491	S2-125086919
S1-61325103	S2-764987263
S1-259561414	S2-42757500
S1-689440797	S2-180487013
S1-457479575	S2-5967192
S1-536081241	S2-411301100
S1-971649303	S2-144904186
S1-127364410	S2-325807018
S1-719191788	S2-771729582
S1-919105059	S2-811628019
S1-824872174	S2-997762473
S1-727131089	S2-310143521
S1-40168811	S2-622162784
S1-669491792	S2-538321663
S1-317137199	S2-703228391
S1-325277129	S2-844533988
S1-802850751	S2-750167362
S1-871536033	S2-58172006
S1-404475421	S2-829021114
S1-69640541	S2-832597595
S1-410266088	S2-432857949
S1-19902322	S2-724482439
S1-236985763	S2-165227814
S1-536636027	S2-931713255
S1-423311048	S2-223329742
S1-77289828	S2-933783939
S1-795362879	S2-777198906
S1-274875056	S2-73519077
S1-115117916	S2-639714727
S1-713042208	S2-982748843
S1-796746860	S2-848911609
S1-718783298	S2-497300049
S1-629411207	S2-839679863
S1-918417551	S2-952358927
S1-752755804	S2-557263602
S1-189649133	S2-130513931
S1-810432224	S2-795935705
S1-835940050	S2-95921961
S1-985062488	S2-977344420
S1-984675116	S2-960934346
S1-634632306	S2-966443409
S1-493843122	S2-845573650
S1-353617931	S2-725781699
S1-851435195	S2-200831901
S1-412948182	S2-755089099
S1-555966627	S2-548160555
S1-765287957	S2-536946131
S1-731843631	S2-216742831
S1-499893677	S2-68425278
S1-530769608	S2-585587758
S1-123642135	S2-375032707
S1-299622719	S2-27825770
S1-801852017	S2-355423309
S1-235450411	S2-838284780
S1-970634468	S2-571796685
S1-150152250	S2-439380288
S1-289413751	S2-92081311
S1-99083372	S2-662199786
S1-725567514	S2-26112389
S1-624190069	S2-455474851
S1-359558530	S2-555640077
S1-616745138	S2-413020317
S1-194714171	S2-975423966
S1-421290846	S2-602726282
S1-508789467	S2-599286896
S1-505265379	S2-867350045
S1-767597780	S2-417005592
S1-5405318	S2-818454433
S1-149424676	S2-442277161
S1-630661074	S2-909104730
S1-802351603	S2-383184812
S1-131151351	S2-217902125
S1-954945309	S2-753264339
S1-580609339	S2-267643212
S1-176487871	S2-560932649
S1-230449673	S2-732619181
S1-193307975	S2-805518466
S1-130520055	S2-842152891
S1-170838551	S2-781026065
S1-517689960	S2-955908227
S1-203690405	S2-927182175
S1-638607257	S2-443327476
S1-137981171	S2-702935818
S1-270596404	S2-729014246
S1-831784662	S2-367722340
S1-791259418	S2-363952562
S1-447769647	S2-212028937
S1-3666299	S2-841263043
S1-278373463	S2-36835640
S1-123594643	S2-770627536
S1-758577091	S2-572452042
S1-644317714	S2-805569718
S1-978723417	S2-296826233
S1-692069664	S2-3089011
S1-803590345	S2-719870548
S1-419655749	S2-773222732
S1-941330235	S2-424345950
S1-520190812	S2-679734475
S1-880886854	S2-268512797
S1-472402587	S2-484821681
S1-260412100	S2-976981586
S1-148449537	S2-170196827
S1-654394806	S2-810577191
S1-761308525	S2-627250884
S1-541744739	S2-428404670
S1-320130945	S2-383767344
S1-442498753	S2-984234372
S1-58781274	S2-941108746
S1-276662150	S2-219900831
S1-236799390	S2-657901921
S1-270319062	S2-953424724
S1-255106416	S2-170763568
S1-603646330	S2-146713819
S1-650825366	S2-704505258
S1-76200625	S2-711059284
S1-105611042	S2-514469215
S1-741476537	S2-321904358
S1-738699125	S2-830667050
S1-594136471	S2-532210484
S1-750091652	S2-529373688
S1-548349501	S2-548927921
S1-99789171	S2-450967100
S1-413830230	S2-215360650
S1-724517001	S2-544843434
S1-297537194	S2-978843426
S1-478466480	S2-832465684
S1-279312134	S2-568804321
S1-246000051	S2-496733663
S1-838918655	S2-378579762
S1-469623247	S2-891315426
S1-592180430	S2-716641180
S1-786562468	S2-596767089
S1-291011628	S2-460310252
S1-492423721	S2-781449524
S1-590690022	S2-120787811
S1-690401700	S2-517682539
S1-630662004	S2-517010044
S1-828220552	S2-171462702
S1-993289107	S2-736673704
S1-303320100	S2-800013066
S1-35778118	S2-845466135
S1-67182475	S2-754921229
S1-718181807	S2-173367412
S1-224064165	S2-669596292
S1-178939058	S2-531007579
S1-666982628	S2-686512584
S1-752685037	S2-263080464
S1-346223661	S2-578785120
S1-310360465	S2-798245410
S1-73402265	S2-445613407
S1-644074806	S2-196907520
S1-227567596	S2-148979074
S1-226077516	S2-41853015
S1-356983985	S2-108264354
S1-729005872	S2-412271132
S1-925928905	S2-281503591
S1-970606765	S2-707911559
S1-286265722	S2-732888523
S1-154129575	S2-354253109
S1-494477461	S2-715982196
S1-550662061	S2-289470126
S1-958204649	S2-719791441
S1-647831508	S2-548729257
S1-508258267	S2-659567820
S1-206820832	S2-719621313
S1-444597138	S2-803082119
S1-854035771	S2-137142592
S1-668609987	S2-963593763
S1-118541793	S2-307595290
S1-563693539	S2-736858789
S1-364849874	S2-224973623
S1-119058338	S2-191889098
S1-28155758	S2-181587415
S1-114875345	S2-15355940
S1-629153035	S2-22695186
S1-75270080	S2-776616910
S1-509962937	S2-45749636
S1-704993612	S2-912116631
S1-471335330	S2-506126704
S1-717283090	S2-61132318
S1-327323626	S2-593251738
S1-700424774	S2-997424348
S1-97416517	S2-94839700
S1-81321607	S2-889355726
S1-523119513	S2-101312137
S1-847910996	S2-734668248
S1-525970796	S2-318943995
S1-985549316	S2-666689627
S1-60133868	S2-343142412
S1-143557683	S2-775086390
S1-903903285	S2-891560084
S1-418849995	S2-398526970
S1-3276806	S2-403572422
S1-824809072	S2-105690861
S1-289496598	S2-151961677
S1-859624649	S2-644021259
S1-583072279	S2-266923974
S1-112019765	S2-133005595
S1-285985188	S2-830596468
S1-251079231	S2-449649978
S1-859039730	S2-886717283
S1-161077392	S2-476772412
S1-804292169	S2-108481359
S1-687754378	S2-116606818
S1-700650607	S2-44592096
S1-246334631	S2-878988901
S1-754988004	S2-37186178
S1-764096170	S2-295931621
S1-883752213	S2-876809204
S1-786220388	S2-505136479
S1-894525506	S2-25985115
S1-57919642	S2-436883009
S1-341255680	S2-971600108
S1-257409599	S2-700993080
S1-262038700	S2-961279965
S1-711991508	S2-549030531
S1-434886817	S2-650711231
S1-284733790	S2-410569146
S1-278259421	S2-96789822
S1-627033293	S2-615392040
S1-422299996	S2-459349371
S1-855186101	S2-511412735
